Date,flux_primaire_pro_format,instance,recus
2021-01-31,FLUX UNIF,SAV,256.0
2021-02-01,FLUX AD,SAV,10.0
2021-02-01,FLUX RPC,COMMERCE,1167.0
2021-02-01,FLUX RPC SAV AUTOLOC,SAV,767.0
2021-02-01,FLUX RPC SAV COMPLEX,SAV,260.0
2021-02-01,FLUX UNIF,COMMERCE,290.0
2021-02-01,FLUX UNIF,SAV,807.0
2021-02-02,FLUX AD,SAV,147.0
2021-02-02,FLUX RPC,COMMERCE,1133.0
2021-02-02,FLUX RPC SAV AUTOLOC,SAV,709.0
2021-02-02,FLUX RPC SAV COMPLEX,SAV,221.0
2021-02-02,FLUX UNIF,COMMERCE,259.0
2021-02-02,FLUX UNIF,SAV,888.0
2021-02-03,FLUX AD,SAV,61.0
2021-02-03,FLUX RPC,COMMERCE,1290.0
2021-02-03,FLUX RPC SAV AUTOLOC,SAV,626.0
2021-02-03,FLUX RPC SAV COMPLEX,SAV,285.0
2021-02-03,FLUX UNIF,COMMERCE,288.0
2021-02-03,FLUX UNIF,SAV,852.0
2021-02-04,FLUX AD,SAV,52.0
2021-02-04,FLUX RPC,COMMERCE,1253.0
2021-02-04,FLUX RPC SAV AUTOLOC,SAV,624.0
2021-02-04,FLUX RPC SAV COMPLEX,SAV,228.0
2021-02-04,FLUX UNIF,COMMERCE,282.0
2021-02-04,FLUX UNIF,SAV,876.0
2021-02-05,FLUX AD,SAV,65.0
2021-02-05,FLUX RPC,COMMERCE,1132.0
2021-02-05,FLUX RPC SAV AUTOLOC,SAV,508.0
2021-02-05,FLUX RPC SAV COMPLEX,SAV,185.0
2021-02-05,FLUX UNIF,COMMERCE,224.0
2021-02-05,FLUX UNIF,SAV,684.0
2021-02-06,FLUX AD,SAV,2.0
2021-02-06,FLUX RPC,COMMERCE,460.0
2021-02-06,FLUX RPC SAV AUTOLOC,SAV,119.0
2021-02-06,FLUX RPC SAV COMPLEX,SAV,36.0
2021-02-06,FLUX UNIF,COMMERCE,58.0
2021-02-06,FLUX UNIF,SAV,502.0
2021-02-07,FLUX AD,SAV,1.0
2021-02-07,FLUX RPC,COMMERCE,256.0
2021-02-07,FLUX RPC SAV AUTOLOC,SAV,54.0
2021-02-07,FLUX RPC SAV COMPLEX,SAV,21.0
2021-02-07,FLUX UNIF,COMMERCE,35.0
2021-02-07,FLUX UNIF,SAV,324.0
2021-02-08,FLUX AD,SAV,77.0
2021-02-08,FLUX RPC,COMMERCE,1346.0
2021-02-08,FLUX RPC SAV AUTOLOC,SAV,815.0
2021-02-08,FLUX RPC SAV COMPLEX,SAV,319.0
2021-02-08,FLUX UNIF,COMMERCE,295.0
2021-02-08,FLUX UNIF,SAV,1061.0
2021-02-09,FLUX AD,SAV,58.0
2021-02-09,FLUX RPC,COMMERCE,1408.0
2021-02-09,FLUX RPC SAV AUTOLOC,SAV,726.0
2021-02-09,FLUX RPC SAV COMPLEX,SAV,241.0
2021-02-09,FLUX UNIF,COMMERCE,302.0
2021-02-09,FLUX UNIF,SAV,903.0
2021-02-10,FLUX AD,SAV,70.0
2021-02-10,FLUX RPC,COMMERCE,1392.0
2021-02-10,FLUX RPC SAV AUTOLOC,SAV,645.0
2021-02-10,FLUX RPC SAV COMPLEX,SAV,271.0
2021-02-10,FLUX UNIF,COMMERCE,260.0
2021-02-10,FLUX UNIF,SAV,1370.0
2021-02-11,FLUX AD,SAV,40.0
2021-02-11,FLUX RPC,COMMERCE,1227.0
2021-02-11,FLUX RPC SAV AUTOLOC,SAV,650.0
2021-02-11,FLUX RPC SAV COMPLEX,SAV,187.0
2021-02-11,FLUX UNIF,COMMERCE,306.0
2021-02-11,FLUX UNIF,SAV,863.0
2021-02-12,FLUX AD,SAV,84.0
2021-02-12,FLUX RPC,COMMERCE,1056.0
2021-02-12,FLUX RPC SAV AUTOLOC,SAV,612.0
2021-02-12,FLUX RPC SAV COMPLEX,SAV,227.0
2021-02-12,FLUX UNIF,COMMERCE,279.0
2021-02-12,FLUX UNIF,SAV,826.0
2021-02-13,FLUX AD,SAV,2.0
2021-02-13,FLUX RPC,COMMERCE,361.0
2021-02-13,FLUX RPC SAV AUTOLOC,SAV,113.0
2021-02-13,FLUX RPC SAV COMPLEX,SAV,23.0
2021-02-13,FLUX UNIF,COMMERCE,102.0
2021-02-13,FLUX UNIF,SAV,381.0
2021-02-14,FLUX AD,SAV,2.0
2021-02-14,FLUX RPC,COMMERCE,217.0
2021-02-14,FLUX RPC SAV AUTOLOC,SAV,50.0
2021-02-14,FLUX RPC SAV COMPLEX,SAV,15.0
2021-02-14,FLUX UNIF,COMMERCE,46.0
2021-02-14,FLUX UNIF,SAV,252.0
2021-02-15,FLUX AD,SAV,61.0
2021-02-15,FLUX RPC,COMMERCE,1242.0
2021-02-15,FLUX RPC SAV AUTOLOC,SAV,662.0
2021-02-15,FLUX RPC SAV COMPLEX,SAV,270.0
2021-02-15,FLUX UNIF,COMMERCE,310.0
2021-02-15,FLUX UNIF,SAV,816.0
2021-02-16,FLUX AD,SAV,93.0
2021-02-16,FLUX RPC,COMMERCE,1328.0
2021-02-16,FLUX RPC SAV AUTOLOC,SAV,660.0
2021-02-16,FLUX RPC SAV COMPLEX,SAV,310.0
2021-02-16,FLUX UNIF,COMMERCE,299.0
2021-02-16,FLUX UNIF,SAV,864.0
2021-02-17,FLUX AD,SAV,131.0
2021-02-17,FLUX RPC,COMMERCE,1419.0
2021-02-17,FLUX RPC SAV AUTOLOC,SAV,579.0
2021-02-17,FLUX RPC SAV COMPLEX,SAV,350.0
2021-02-17,FLUX UNIF,COMMERCE,267.0
2021-02-17,FLUX UNIF,SAV,902.0
2021-02-18,FLUX AD,SAV,73.0
2021-02-18,FLUX RPC,COMMERCE,1283.0
2021-02-18,FLUX RPC SAV AUTOLOC,SAV,589.0
2021-02-18,FLUX RPC SAV COMPLEX,SAV,258.0
2021-02-18,FLUX UNIF,COMMERCE,340.0
2021-02-18,FLUX UNIF,SAV,887.0
2021-02-19,FLUX AD,SAV,151.0
2021-02-19,FLUX RPC,COMMERCE,1091.0
2021-02-19,FLUX RPC SAV AUTOLOC,SAV,605.0
2021-02-19,FLUX RPC SAV COMPLEX,SAV,291.0
2021-02-19,FLUX UNIF,COMMERCE,221.0
2021-02-19,FLUX UNIF,SAV,743.0
2021-02-20,FLUX AD,SAV,1.0
2021-02-20,FLUX RPC,COMMERCE,401.0
2021-02-20,FLUX RPC SAV AUTOLOC,SAV,98.0
2021-02-20,FLUX RPC SAV COMPLEX,SAV,29.0
2021-02-20,FLUX UNIF,COMMERCE,99.0
2021-02-20,FLUX UNIF,SAV,339.0
2021-02-21,FLUX RPC,COMMERCE,218.0
2021-02-21,FLUX RPC SAV AUTOLOC,SAV,57.0
2021-02-21,FLUX RPC SAV COMPLEX,SAV,10.0
2021-02-21,FLUX UNIF,COMMERCE,37.0
2021-02-21,FLUX UNIF,SAV,277.0
2021-02-22,FLUX AD,SAV,84.0
2021-02-22,FLUX RPC,COMMERCE,1327.0
2021-02-22,FLUX RPC SAV AUTOLOC,SAV,670.0
2021-02-22,FLUX RPC SAV COMPLEX,SAV,250.0
2021-02-22,FLUX UNIF,COMMERCE,261.0
2021-02-22,FLUX UNIF,SAV,799.0
2021-02-23,FLUX AD,SAV,104.0
2021-02-23,FLUX RPC,COMMERCE,1209.0
2021-02-23,FLUX RPC SAV AUTOLOC,SAV,556.0
2021-02-23,FLUX RPC SAV COMPLEX,SAV,255.0
2021-02-23,FLUX UNIF,COMMERCE,270.0
2021-02-23,FLUX UNIF,SAV,771.0
2021-02-24,FLUX AD,SAV,116.0
2021-02-24,FLUX RPC,COMMERCE,1179.0
2021-02-24,FLUX RPC SAV AUTOLOC,SAV,576.0
2021-02-24,FLUX RPC SAV COMPLEX,SAV,219.0
2021-02-24,FLUX UNIF,COMMERCE,274.0
2021-02-24,FLUX UNIF,SAV,812.0
2021-02-25,FLUX AD,SAV,127.0
2021-02-25,FLUX RPC,COMMERCE,1067.0
2021-02-25,FLUX RPC SAV AUTOLOC,SAV,668.0
2021-02-25,FLUX RPC SAV COMPLEX,SAV,252.0
2021-02-25,FLUX UNIF,COMMERCE,273.0
2021-02-25,FLUX UNIF,SAV,720.0
2021-02-26,FLUX AD,SAV,72.0
2021-02-26,FLUX RPC,COMMERCE,1117.0
2021-02-26,FLUX RPC SAV AUTOLOC,SAV,631.0
2021-02-26,FLUX RPC SAV COMPLEX,SAV,238.0
2021-02-26,FLUX UNIF,COMMERCE,276.0
2021-02-26,FLUX UNIF,SAV,726.0
2021-02-27,FLUX RPC,COMMERCE,376.0
2021-02-27,FLUX RPC SAV AUTOLOC,SAV,103.0
2021-02-27,FLUX RPC SAV COMPLEX,SAV,39.0
2021-02-27,FLUX UNIF,COMMERCE,81.0
2021-02-27,FLUX UNIF,SAV,378.0
2021-02-28,FLUX AD,SAV,3.0
2021-02-28,FLUX RPC,COMMERCE,238.0
2021-02-28,FLUX RPC SAV AUTOLOC,SAV,67.0
2021-02-28,FLUX RPC SAV COMPLEX,SAV,16.0
2021-02-28,FLUX UNIF,COMMERCE,34.0
2021-02-28,FLUX UNIF,SAV,276.0
2021-03-01,FLUX AD,SAV,65.0
2021-03-01,FLUX RPC,COMMERCE,1111.0
2021-03-01,FLUX RPC SAV AUTOLOC,SAV,666.0
2021-03-01,FLUX RPC SAV COMPLEX,SAV,313.0
2021-03-01,FLUX UNIF,COMMERCE,265.0
2021-03-01,FLUX UNIF,SAV,763.0
2021-03-02,FLUX AD,SAV,71.0
2021-03-02,FLUX RPC,COMMERCE,1265.0
2021-03-02,FLUX RPC SAV AUTOLOC,SAV,517.0
2021-03-02,FLUX RPC SAV COMPLEX,SAV,278.0
2021-03-02,FLUX UNIF,COMMERCE,307.0
2021-03-02,FLUX UNIF,SAV,879.0
2021-03-03,FLUX AD,SAV,61.0
2021-03-03,FLUX RPC,COMMERCE,1227.0
2021-03-03,FLUX RPC SAV AUTOLOC,SAV,686.0
2021-03-03,FLUX RPC SAV COMPLEX,SAV,325.0
2021-03-03,FLUX UNIF,COMMERCE,314.0
2021-03-03,FLUX UNIF,SAV,814.0
2021-03-04,FLUX AD,SAV,69.0
2021-03-04,FLUX RPC,COMMERCE,1234.0
2021-03-04,FLUX RPC SAV AUTOLOC,SAV,656.0
2021-03-04,FLUX RPC SAV COMPLEX,SAV,318.0
2021-03-04,FLUX UNIF,COMMERCE,290.0
2021-03-04,FLUX UNIF,SAV,754.0
2021-03-05,FLUX AD,SAV,51.0
2021-03-05,FLUX RPC,COMMERCE,1078.0
2021-03-05,FLUX RPC SAV AUTOLOC,SAV,613.0
2021-03-05,FLUX RPC SAV COMPLEX,SAV,214.0
2021-03-05,FLUX UNIF,COMMERCE,284.0
2021-03-05,FLUX UNIF,SAV,824.0
2021-03-06,FLUX AD,SAV,5.0
2021-03-06,FLUX RPC,COMMERCE,491.0
2021-03-06,FLUX RPC SAV AUTOLOC,SAV,113.0
2021-03-06,FLUX RPC SAV COMPLEX,SAV,32.0
2021-03-06,FLUX UNIF,COMMERCE,87.0
2021-03-06,FLUX UNIF,SAV,438.0
2021-03-07,FLUX AD,SAV,1.0
2021-03-07,FLUX RPC,COMMERCE,237.0
2021-03-07,FLUX RPC SAV AUTOLOC,SAV,56.0
2021-03-07,FLUX RPC SAV COMPLEX,SAV,16.0
2021-03-07,FLUX UNIF,COMMERCE,38.0
2021-03-07,FLUX UNIF,SAV,308.0
2021-03-08,FLUX AD,SAV,91.0
2021-03-08,FLUX RPC,COMMERCE,1292.0
2021-03-08,FLUX RPC SAV AUTOLOC,SAV,746.0
2021-03-08,FLUX RPC SAV COMPLEX,SAV,356.0
2021-03-08,FLUX UNIF,COMMERCE,319.0
2021-03-08,FLUX UNIF,SAV,879.0
2021-03-09,FLUX AD,SAV,59.0
2021-03-09,FLUX RPC,COMMERCE,1266.0
2021-03-09,FLUX RPC SAV AUTOLOC,SAV,695.0
2021-03-09,FLUX RPC SAV COMPLEX,SAV,237.0
2021-03-09,FLUX UNIF,COMMERCE,313.0
2021-03-09,FLUX UNIF,SAV,900.0
2021-03-10,FLUX AD,SAV,82.0
2021-03-10,FLUX RPC,COMMERCE,1290.0
2021-03-10,FLUX RPC SAV AUTOLOC,SAV,692.0
2021-03-10,FLUX RPC SAV COMPLEX,SAV,259.0
2021-03-10,FLUX UNIF,COMMERCE,285.0
2021-03-10,FLUX UNIF,SAV,941.0
2021-03-11,FLUX AD,SAV,69.0
2021-03-11,FLUX RPC,COMMERCE,1339.0
2021-03-11,FLUX RPC SAV AUTOLOC,SAV,630.0
2021-03-11,FLUX RPC SAV COMPLEX,SAV,275.0
2021-03-11,FLUX UNIF,COMMERCE,329.0
2021-03-11,FLUX UNIF,SAV,788.0
2021-03-12,FLUX AD,SAV,81.0
2021-03-12,FLUX RPC,COMMERCE,1155.0
2021-03-12,FLUX RPC SAV AUTOLOC,SAV,595.0
2021-03-12,FLUX RPC SAV COMPLEX,SAV,236.0
2021-03-12,FLUX UNIF,COMMERCE,271.0
2021-03-12,FLUX UNIF,SAV,771.0
2021-03-13,FLUX AD,SAV,3.0
2021-03-13,FLUX RPC,COMMERCE,415.0
2021-03-13,FLUX RPC SAV AUTOLOC,SAV,101.0
2021-03-13,FLUX RPC SAV COMPLEX,SAV,29.0
2021-03-13,FLUX UNIF,COMMERCE,115.0
2021-03-13,FLUX UNIF,SAV,419.0
2021-03-14,FLUX AD,SAV,1.0
2021-03-14,FLUX RPC,COMMERCE,231.0
2021-03-14,FLUX RPC SAV AUTOLOC,SAV,48.0
2021-03-14,FLUX RPC SAV COMPLEX,SAV,18.0
2021-03-14,FLUX UNIF,COMMERCE,42.0
2021-03-14,FLUX UNIF,SAV,310.0
2021-03-15,FLUX AD,SAV,72.0
2021-03-15,FLUX RPC,COMMERCE,1493.0
2021-03-15,FLUX RPC SAV AUTOLOC,SAV,780.0
2021-03-15,FLUX RPC SAV COMPLEX,SAV,340.0
2021-03-15,FLUX UNIF,COMMERCE,372.0
2021-03-15,FLUX UNIF,SAV,877.0
2021-03-16,FLUX AD,SAV,65.0
2021-03-16,FLUX RPC,COMMERCE,1382.0
2021-03-16,FLUX RPC SAV AUTOLOC,SAV,664.0
2021-03-16,FLUX RPC SAV COMPLEX,SAV,234.0
2021-03-16,FLUX UNIF,COMMERCE,321.0
2021-03-16,FLUX UNIF,SAV,829.0
2021-03-17,FLUX AD,SAV,153.0
2021-03-17,FLUX RPC,COMMERCE,1396.0
2021-03-17,FLUX RPC SAV AUTOLOC,SAV,598.0
2021-03-17,FLUX RPC SAV COMPLEX,SAV,249.0
2021-03-17,FLUX UNIF,COMMERCE,301.0
2021-03-17,FLUX UNIF,SAV,904.0
2021-03-18,FLUX AD,SAV,153.0
2021-03-18,FLUX RPC,COMMERCE,1406.0
2021-03-18,FLUX RPC SAV AUTOLOC,SAV,601.0
2021-03-18,FLUX RPC SAV COMPLEX,SAV,319.0
2021-03-18,FLUX UNIF,COMMERCE,248.0
2021-03-18,FLUX UNIF,SAV,746.0
2021-03-19,FLUX AD,SAV,151.0
2021-03-19,FLUX RPC,COMMERCE,1086.0
2021-03-19,FLUX RPC SAV AUTOLOC,SAV,574.0
2021-03-19,FLUX RPC SAV COMPLEX,SAV,241.0
2021-03-19,FLUX UNIF,COMMERCE,272.0
2021-03-19,FLUX UNIF,SAV,665.0
2021-03-20,FLUX AD,SAV,3.0
2021-03-20,FLUX RPC,COMMERCE,416.0
2021-03-20,FLUX RPC SAV AUTOLOC,SAV,104.0
2021-03-20,FLUX RPC SAV COMPLEX,SAV,28.0
2021-03-20,FLUX UNIF,COMMERCE,56.0
2021-03-20,FLUX UNIF,SAV,314.0
2021-03-21,FLUX AD,SAV,5.0
2021-03-21,FLUX RPC,COMMERCE,217.0
2021-03-21,FLUX RPC SAV AUTOLOC,SAV,54.0
2021-03-21,FLUX RPC SAV COMPLEX,SAV,18.0
2021-03-21,FLUX UNIF,COMMERCE,41.0
2021-03-21,FLUX UNIF,SAV,281.0
2021-03-22,FLUX AD,SAV,9.0
2021-03-22,FLUX RPC,COMMERCE,1251.0
2021-03-22,FLUX RPC SAV AUTOLOC,SAV,600.0
2021-03-22,FLUX RPC SAV COMPLEX,SAV,286.0
2021-03-22,FLUX UNIF,COMMERCE,274.0
2021-03-22,FLUX UNIF,SAV,697.0
2021-03-23,FLUX AD,SAV,180.0
2021-03-23,FLUX RPC,COMMERCE,1343.0
2021-03-23,FLUX RPC SAV AUTOLOC,SAV,690.0
2021-03-23,FLUX RPC SAV COMPLEX,SAV,268.0
2021-03-23,FLUX UNIF,COMMERCE,258.0
2021-03-23,FLUX UNIF,SAV,876.0
2021-03-24,FLUX AD,SAV,4.0
2021-03-24,FLUX RPC,COMMERCE,1115.0
2021-03-24,FLUX RPC SAV AUTOLOC,SAV,583.0
2021-03-24,FLUX RPC SAV COMPLEX,SAV,235.0
2021-03-24,FLUX UNIF,COMMERCE,300.0
2021-03-24,FLUX UNIF,SAV,708.0
2021-03-25,FLUX AD,SAV,231.0
2021-03-25,FLUX RPC,COMMERCE,1253.0
2021-03-25,FLUX RPC SAV AUTOLOC,SAV,665.0
2021-03-25,FLUX RPC SAV COMPLEX,SAV,264.0
2021-03-25,FLUX UNIF,COMMERCE,297.0
2021-03-25,FLUX UNIF,SAV,652.0
2021-03-26,FLUX AD,SAV,66.0
2021-03-26,FLUX RPC,COMMERCE,993.0
2021-03-26,FLUX RPC SAV AUTOLOC,SAV,573.0
2021-03-26,FLUX RPC SAV COMPLEX,SAV,289.0
2021-03-26,FLUX UNIF,COMMERCE,289.0
2021-03-26,FLUX UNIF,SAV,683.0
2021-03-27,FLUX AD,SAV,1.0
2021-03-27,FLUX RPC,COMMERCE,388.0
2021-03-27,FLUX RPC SAV AUTOLOC,SAV,111.0
2021-03-27,FLUX RPC SAV COMPLEX,SAV,25.0
2021-03-27,FLUX UNIF,COMMERCE,112.0
2021-03-27,FLUX UNIF,SAV,314.0
2021-03-28,FLUX AD,SAV,7.0
2021-03-28,FLUX RPC,COMMERCE,290.0
2021-03-28,FLUX RPC SAV AUTOLOC,SAV,42.0
2021-03-28,FLUX RPC SAV COMPLEX,SAV,19.0
2021-03-28,FLUX UNIF,COMMERCE,48.0
2021-03-28,FLUX UNIF,SAV,176.0
2021-03-29,FLUX AD,SAV,110.0
2021-03-29,FLUX RPC,COMMERCE,1370.0
2021-03-29,FLUX RPC SAV AUTOLOC,SAV,670.0
2021-03-29,FLUX RPC SAV COMPLEX,SAV,259.0
2021-03-29,FLUX UNIF,COMMERCE,344.0
2021-03-29,FLUX UNIF,SAV,564.0
2021-03-30,FLUX AD,SAV,130.0
2021-03-30,FLUX RPC,COMMERCE,1430.0
2021-03-30,FLUX RPC SAV AUTOLOC,SAV,571.0
2021-03-30,FLUX RPC SAV COMPLEX,SAV,285.0
2021-03-30,FLUX UNIF,COMMERCE,337.0
2021-03-30,FLUX UNIF,SAV,616.0
2021-03-31,FLUX AD,SAV,91.0
2021-03-31,FLUX RPC,COMMERCE,1216.0
2021-03-31,FLUX RPC SAV AUTOLOC,SAV,493.0
2021-03-31,FLUX RPC SAV COMPLEX,SAV,256.0
2021-03-31,FLUX UNIF,COMMERCE,277.0
2021-03-31,FLUX UNIF,SAV,503.0
2021-04-01,FLUX AD,SAV,104.0
2021-04-01,FLUX RPC,COMMERCE,1131.0
2021-04-01,FLUX RPC SAV AUTOLOC,SAV,486.0
2021-04-01,FLUX RPC SAV COMPLEX,SAV,224.0
2021-04-01,FLUX UNIF,COMMERCE,247.0
2021-04-01,FLUX UNIF,SAV,469.0
2021-04-02,FLUX AD,SAV,91.0
2021-04-02,FLUX RPC,COMMERCE,1008.0
2021-04-02,FLUX RPC SAV AUTOLOC,SAV,504.0
2021-04-02,FLUX RPC SAV COMPLEX,SAV,184.0
2021-04-02,FLUX UNIF,COMMERCE,256.0
2021-04-02,FLUX UNIF,SAV,488.0
2021-04-03,FLUX AD,SAV,20.0
2021-04-03,FLUX RPC,COMMERCE,373.0
2021-04-03,FLUX RPC SAV AUTOLOC,SAV,97.0
2021-04-03,FLUX RPC SAV COMPLEX,SAV,34.0
2021-04-03,FLUX UNIF,COMMERCE,80.0
2021-04-03,FLUX UNIF,SAV,198.0
2021-04-04,FLUX AD,SAV,10.0
2021-04-04,FLUX RPC,COMMERCE,229.0
2021-04-04,FLUX RPC SAV AUTOLOC,SAV,25.0
2021-04-04,FLUX RPC SAV COMPLEX,SAV,9.0
2021-04-04,FLUX UNIF,COMMERCE,37.0
2021-04-04,FLUX UNIF,SAV,172.0
2021-04-05,FLUX AD,SAV,24.0
2021-04-05,FLUX RPC,COMMERCE,311.0
2021-04-05,FLUX RPC SAV AUTOLOC,SAV,48.0
2021-04-05,FLUX RPC SAV COMPLEX,SAV,28.0
2021-04-05,FLUX UNIF,COMMERCE,27.0
2021-04-05,FLUX UNIF,SAV,214.0
2021-04-06,FLUX AD,SAV,113.0
2021-04-06,FLUX RPC,COMMERCE,1535.0
2021-04-06,FLUX RPC SAV AUTOLOC,SAV,762.0
2021-04-06,FLUX RPC SAV COMPLEX,SAV,301.0
2021-04-06,FLUX UNIF,COMMERCE,283.0
2021-04-06,FLUX UNIF,SAV,730.0
2021-04-07,FLUX AD,SAV,124.0
2021-04-07,FLUX RPC,COMMERCE,1640.0
2021-04-07,FLUX RPC SAV AUTOLOC,SAV,578.0
2021-04-07,FLUX RPC SAV COMPLEX,SAV,279.0
2021-04-07,FLUX UNIF,COMMERCE,283.0
2021-04-07,FLUX UNIF,SAV,700.0
2021-04-08,FLUX AD,SAV,106.0
2021-04-08,FLUX RPC,COMMERCE,1476.0
2021-04-08,FLUX RPC SAV AUTOLOC,SAV,602.0
2021-04-08,FLUX RPC SAV COMPLEX,SAV,279.0
2021-04-08,FLUX UNIF,COMMERCE,303.0
2021-04-08,FLUX UNIF,SAV,630.0
2021-04-09,FLUX AD,SAV,117.0
2021-04-09,FLUX RPC,COMMERCE,1365.0
2021-04-09,FLUX RPC SAV AUTOLOC,SAV,498.0
2021-04-09,FLUX RPC SAV COMPLEX,SAV,314.0
2021-04-09,FLUX UNIF,COMMERCE,243.0
2021-04-09,FLUX UNIF,SAV,621.0
2021-04-10,FLUX AD,SAV,32.0
2021-04-10,FLUX RPC,COMMERCE,596.0
2021-04-10,FLUX RPC SAV AUTOLOC,SAV,105.0
2021-04-10,FLUX RPC SAV COMPLEX,SAV,29.0
2021-04-10,FLUX UNIF,COMMERCE,84.0
2021-04-10,FLUX UNIF,SAV,277.0
2021-04-11,FLUX AD,SAV,24.0
2021-04-11,FLUX RPC,COMMERCE,327.0
2021-04-11,FLUX RPC SAV AUTOLOC,SAV,81.0
2021-04-11,FLUX RPC SAV COMPLEX,SAV,19.0
2021-04-11,FLUX UNIF,COMMERCE,46.0
2021-04-11,FLUX UNIF,SAV,219.0
2021-04-12,FLUX AD,SAV,61.0
2021-04-12,FLUX RPC,COMMERCE,1355.0
2021-04-12,FLUX RPC SAV AUTOLOC,SAV,595.0
2021-04-12,FLUX RPC SAV COMPLEX,SAV,424.0
2021-04-12,FLUX UNIF,COMMERCE,280.0
2021-04-12,FLUX UNIF,SAV,621.0
2021-04-13,FLUX AD,SAV,222.0
2021-04-13,FLUX RPC,COMMERCE,1467.0
2021-04-13,FLUX RPC SAV AUTOLOC,SAV,649.0
2021-04-13,FLUX RPC SAV COMPLEX,SAV,371.0
2021-04-13,FLUX UNIF,COMMERCE,268.0
2021-04-13,FLUX UNIF,SAV,651.0
2021-04-14,FLUX AD,SAV,162.0
2021-04-14,FLUX RPC,COMMERCE,1423.0
2021-04-14,FLUX RPC SAV AUTOLOC,SAV,532.0
2021-04-14,FLUX RPC SAV COMPLEX,SAV,386.0
2021-04-14,FLUX UNIF,COMMERCE,269.0
2021-04-14,FLUX UNIF,SAV,618.0
2021-04-15,FLUX AD,SAV,152.0
2021-04-15,FLUX RPC,COMMERCE,1249.0
2021-04-15,FLUX RPC SAV AUTOLOC,SAV,481.0
2021-04-15,FLUX RPC SAV COMPLEX,SAV,370.0
2021-04-15,FLUX UNIF,COMMERCE,306.0
2021-04-15,FLUX UNIF,SAV,571.0
2021-04-16,FLUX AD,SAV,226.0
2021-04-16,FLUX RPC,COMMERCE,1268.0
2021-04-16,FLUX RPC SAV AUTOLOC,SAV,567.0
2021-04-16,FLUX RPC SAV COMPLEX,SAV,281.0
2021-04-16,FLUX UNIF,COMMERCE,291.0
2021-04-16,FLUX UNIF,SAV,575.0
2021-04-17,FLUX AD,SAV,15.0
2021-04-17,FLUX RPC,COMMERCE,477.0
2021-04-17,FLUX RPC SAV AUTOLOC,SAV,110.0
2021-04-17,FLUX RPC SAV COMPLEX,SAV,32.0
2021-04-17,FLUX UNIF,COMMERCE,100.0
2021-04-17,FLUX UNIF,SAV,279.0
2021-04-18,FLUX AD,SAV,12.0
2021-04-18,FLUX RPC,COMMERCE,261.0
2021-04-18,FLUX RPC SAV AUTOLOC,SAV,51.0
2021-04-18,FLUX RPC SAV COMPLEX,SAV,15.0
2021-04-18,FLUX UNIF,COMMERCE,40.0
2021-04-18,FLUX UNIF,SAV,173.0
2021-04-19,FLUX AD,SAV,114.0
2021-04-19,FLUX RPC,COMMERCE,1327.0
2021-04-19,FLUX RPC SAV AUTOLOC,SAV,495.0
2021-04-19,FLUX RPC SAV COMPLEX,SAV,257.0
2021-04-19,FLUX UNIF,COMMERCE,273.0
2021-04-19,FLUX UNIF,SAV,493.0
2021-04-20,FLUX AD,SAV,142.0
2021-04-20,FLUX RPC,COMMERCE,1435.0
2021-04-20,FLUX RPC SAV AUTOLOC,SAV,668.0
2021-04-20,FLUX RPC SAV COMPLEX,SAV,266.0
2021-04-20,FLUX UNIF,COMMERCE,234.0
2021-04-20,FLUX UNIF,SAV,599.0
2021-04-21,FLUX AD,SAV,134.0
2021-04-21,FLUX RPC,COMMERCE,1354.0
2021-04-21,FLUX RPC SAV AUTOLOC,SAV,480.0
2021-04-21,FLUX RPC SAV COMPLEX,SAV,233.0
2021-04-21,FLUX UNIF,COMMERCE,275.0
2021-04-21,FLUX UNIF,SAV,652.0
2021-04-22,FLUX AD,SAV,177.0
2021-04-22,FLUX RPC,COMMERCE,1784.0
2021-04-22,FLUX RPC SAV AUTOLOC,SAV,583.0
2021-04-22,FLUX RPC SAV COMPLEX,SAV,280.0
2021-04-22,FLUX UNIF,COMMERCE,298.0
2021-04-22,FLUX UNIF,SAV,620.0
2021-04-23,FLUX AD,SAV,106.0
2021-04-23,FLUX RPC,COMMERCE,1129.0
2021-04-23,FLUX RPC SAV AUTOLOC,SAV,617.0
2021-04-23,FLUX RPC SAV COMPLEX,SAV,248.0
2021-04-23,FLUX UNIF,COMMERCE,214.0
2021-04-23,FLUX UNIF,SAV,581.0
2021-04-24,FLUX AD,SAV,50.0
2021-04-24,FLUX RPC,COMMERCE,494.0
2021-04-24,FLUX RPC SAV AUTOLOC,SAV,83.0
2021-04-24,FLUX RPC SAV COMPLEX,SAV,26.0
2021-04-24,FLUX UNIF,COMMERCE,83.0
2021-04-24,FLUX UNIF,SAV,246.0
2021-04-25,FLUX AD,SAV,12.0
2021-04-25,FLUX RPC,COMMERCE,284.0
2021-04-25,FLUX RPC SAV AUTOLOC,SAV,40.0
2021-04-25,FLUX RPC SAV COMPLEX,SAV,15.0
2021-04-25,FLUX UNIF,COMMERCE,45.0
2021-04-25,FLUX UNIF,SAV,187.0
2021-04-26,FLUX AD,SAV,131.0
2021-04-26,FLUX RPC,COMMERCE,1503.0
2021-04-26,FLUX RPC SAV AUTOLOC,SAV,529.0
2021-04-26,FLUX RPC SAV COMPLEX,SAV,378.0
2021-04-26,FLUX UNIF,COMMERCE,257.0
